"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV2,RV1";"POT_3386P";2;"R_Potentiometer_US";;;
2;"R3,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"R_Small_US";;;
3;"J3";"LilyGo";1;"LilyGo_T_A7670E";;;
4;"J2";"EKMC4607112K";1;"EKMC4607112K";;;
5;"J1";"BME280";1;"BME280";;;
6;"D2,D1";"LED_D5.0mm";2;"LED";;;
