Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D5.0mm",133.500000,-98.500000,0.000000,top
"D2","LED","LED_D5.0mm",133.460000,-87.000000,0.000000,top
"J1","BME280","BME280",53.000000,-64.500000,0.000000,top
"J2","EKMC4607112K","EKMC4607112K",56.310000,-97.500000,0.000000,top
"J3","LilyGo_T_A7670E","LilyGo",88.935000,-76.965000,0.000000,top
"R1","R_Small_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",116.690000,-99.000000,0.000000,top
"R3","R_Small_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",116.690000,-87.000000,0.000000,top
"RV1","R_Potentiometer_US","POT_3386P",115.420000,-59.500000,0.000000,top
"RV2","R_Potentiometer_US","POT_3386P",133.531500,-59.512700,0.000000,top
